Generation,evals,avg,std,min,max,best_individual,fitness_best_individual
63,388,[  7.         415.16532959],[0.         0.87468629],[  7.         413.01467287],[  7.         415.76729631],"[9, 11, 10, 23, 20, 22, 7, 6, 4, 3, 5, 18, 19, 15, 8, 17, 13, 12, 16, 14, 2, 1, 25, 24, 21]","(7.0, 413.0146728680996)"
64,408,[  7.         414.56801724],[0.         0.93676623],[  7.         413.01467287],[  7.         415.76729631],"[9, 11, 10, 23, 20, 22, 7, 6, 4, 3, 5, 18, 19, 15, 8, 17, 13, 12, 16, 14, 2, 1, 25, 24, 21]","(7.0, 413.0146728680996)"
65,402,[  7.         413.80313877],[0.         0.87782652],[  7.        411.9200346],[  7.         415.15245781],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 1, 5, 18, 19, 15, 8, 13, 17, 12, 16, 14, 2, 3, 25, 24, 21]","(7.0, 411.92003459716614)"
66,390,[  7.         413.10708212],[0.         0.15163997],[  7.         411.78510997],[  7.         413.15925565],"[9, 11, 10, 23, 20, 22, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 16, 14, 2, 1, 25, 24, 21]","(7.0, 411.7851099734502)"
67,382,[  7.         413.05192718],[0.         0.21691576],[  7.         411.78510997],[  7.         413.14959749],"[9, 11, 10, 23, 20, 22, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 16, 14, 2, 1, 25, 24, 21]","(7.0, 411.7851099734502)"
68,392,[  7.         412.94577036],[0.         0.29618859],[  7.         411.78510997],[  7.         413.14959749],"[9, 11, 10, 23, 20, 22, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 16, 14, 2, 1, 25, 24, 21]","(7.0, 411.7851099734502)"
69,398,[  7.         412.83177421],[0.         0.40893668],[  7.         411.78510997],[  7.         413.01467287],"[9, 11, 10, 23, 20, 22, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 16, 14, 2, 1, 25, 24, 21]","(7.0, 411.7851099734502)"
70,386,[  7.         412.61166764],[0.         0.53609061],[  7.         410.73906141],[  7.         413.01467287],"[9, 11, 10, 23, 20, 22, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 16, 14, 12, 2, 1, 25, 24, 21]","(7.0, 410.73906140663405)"
71,412,[  7.         412.19130288],[0.         0.55595171],[  7.         407.23442011],[  7.         413.01467287],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 16, 14, 2, 1, 25, 24, 21]","(7.0, 407.2344201057192)"
72,380,[  7.         411.81925558],[0.         0.39819047],[  7.         407.23442011],[  7.        411.9200346],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 16, 14, 2, 1, 25, 24, 21]","(7.0, 407.2344201057192)"
73,396,[  7.         411.68454973],[0.         0.62380658],[  7.         407.23442011],[  7.        411.9200346],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 16, 14, 2, 1, 25, 24, 21]","(7.0, 407.2344201057192)"
74,408,[  7.         411.48174074],[0.         0.92911113],[  7.         407.23442011],[  7.         411.78510997],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 16, 14, 2, 1, 25, 24, 21]","(7.0, 407.2344201057192)"
75,390,[  7.         411.11928015],[0.         1.30256542],[  7.         407.23442011],[  7.         411.78510997],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 16, 14, 2, 1, 25, 24, 21]","(7.0, 407.2344201057192)"
