Generation,evals,avg,std,min,max,best_individual,fitness_best_individual
57,410,[  7.         415.05492051],[0.         1.32953843],[  7.         411.31156864],[  7.         415.72278637],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 6, 4, 8, 9, 10, 16, 14, 12, 20, 21, 3, 5, 7, 24, 25, 22]","(7.0, 411.31156863733236)"
58,384,[  7.         414.34310622],[0.         1.74450928],[  7.         411.31156864],[  7.         415.59004042],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 6, 4, 8, 9, 10, 16, 14, 12, 20, 21, 3, 5, 7, 24, 25, 22]","(7.0, 411.31156863733236)"
59,424,[  7.         413.12759631],[0.         1.83972776],[  7.         410.84007607],[  7.         415.11854785],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 4, 6, 8, 9, 10, 16, 14, 12, 20, 21, 3, 7, 5, 24, 25, 22]","(7.0, 410.84007607335025)"
60,410,[  7.         411.41561394],[0.         0.06423195],[  7.         410.84007607],[  7.         411.44431459],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 4, 6, 8, 9, 10, 16, 14, 12, 20, 21, 3, 7, 5, 24, 25, 22]","(7.0, 410.84007607335025)"
61,422,[  7.         411.37692212],[0.         0.14671736],[  7.         408.97380823],[  7.         411.44431459],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 6, 4, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.9738082297536)"
62,398,[  7.         411.29728052],[0.         0.20023611],[  7.         408.97380823],[  7.         411.44431459],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 6, 4, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.9738082297536)"
63,404,[  7.         411.23972739],[0.        0.2650109],[  7.         408.97380823],[  7.         411.31156864],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 6, 4, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.9738082297536)"
64,394,[  7.         411.14506775],[0.         0.39018137],[  7.         408.97380823],[  7.         411.31156864],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 6, 4, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.9738082297536)"
65,404,[  7.         410.95659596],[0.         0.50461266],[  7.         408.97380823],[  7.         411.31156864],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 6, 4, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.9738082297536)"
66,390,[  7.         410.60578339],[0.         0.56538024],[  7.         408.97380823],[  7.         411.07437456],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 6, 4, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.9738082297536)"
